

lambda, Y
7e-07, 0.714336
6.97563e-07, 0.713427
6.95142e-07, 0.713427
6.92739e-07, 0.71382
6.90351e-07, 0.714541
6.87981e-07, 0.716057
6.85626e-07, 0.718628
6.83288e-07, 0.721867
6.80965e-07, 0.725287
6.78659e-07, 0.729018
6.76367e-07, 0.733596
6.74092e-07, 0.739106
6.71831e-07, 0.745001
6.69586e-07, 0.750886
6.67355e-07, 0.757102
6.65139e-07, 0.764185
6.62938e-07, 0.771996
6.60752e-07, 0.779852
6.5858e-07, 0.787519
6.56422e-07, 0.795545
6.54278e-07, 0.80439
6.52148e-07, 0.813631
6.50032e-07, 0.822502
6.4793e-07, 0.831001
6.45841e-07, 0.839871
6.43766e-07, 0.849395
6.41704e-07, 0.85882
6.39655e-07, 0.867367
6.37619e-07, 0.875375
6.35596e-07, 0.883768
6.33586e-07, 0.892539
6.31589e-07, 0.900568
6.29604e-07, 0.907229
6.27632e-07, 0.913428
6.25671e-07, 0.920324
6.23724e-07, 0.927486
6.21788e-07, 0.933423
6.19864e-07, 0.938037
6.17952e-07, 0.94323
6.16052e-07, 0.950032
6.14163e-07, 0.955932
6.12286e-07, 0.956929
6.1042e-07, 0.952784
6.08566e-07, 0.94861
6.06723e-07, 0.94932
6.04891e-07, 0.95256
6.0307e-07, 0.949008
6.01261e-07, 0.931131
5.99461e-07, 0.901327
5.97673e-07, 0.870417
5.95895e-07, 0.848069
5.94128e-07, 0.835421
5.92371e-07, 0.82689
5.90625e-07, 0.817555
5.88889e-07, 0.807363
5.87163e-07, 0.798795
5.85447e-07, 0.792586
5.83741e-07, 0.787059
5.82045e-07, 0.780804
5.80359e-07, 0.774404
5.78683e-07, 0.769131
5.77016e-07, 0.764982
5.75359e-07, 0.760843
5.73711e-07, 0.756176
5.72073e-07, 0.751653
5.70444e-07, 0.747994
5.68825e-07, 0.744905
5.67214e-07, 0.741597
5.65613e-07, 0.737953
5.6402e-07, 0.734598
5.62437e-07, 0.731902
5.60862e-07, 0.729456
5.59296e-07, 0.726721
5.57739e-07, 0.723813
5.56191e-07, 0.721261
5.54651e-07, 0.719192
5.5312e-07, 0.717167
5.51597e-07, 0.714859
5.50082e-07, 0.712512
5.48576e-07, 0.710536
5.47078e-07, 0.708885
5.45588e-07, 0.70715
5.44106e-07, 0.705176
5.42633e-07, 0.703268
5.41167e-07, 0.701709
5.39709e-07, 0.700338
5.38259e-07, 0.69881
5.36817e-07, 0.697107
5.35382e-07, 0.695546
5.33955e-07, 0.694288
5.32536e-07, 0.693103
5.31124e-07, 0.691728
5.2972e-07, 0.690253
5.28323e-07, 0.688968
5.26933e-07, 0.687923
5.25551e-07, 0.68686
5.24176e-07, 0.685608
5.22808e-07, 0.684328
5.21447e-07, 0.683261
5.20093e-07, 0.682364
5.18747e-07, 0.681382
5.17407e-07, 0.680233
5.16074e-07, 0.679123
5.14748e-07, 0.678227
5.13429e-07, 0.677428
5.12117e-07, 0.676502
5.10811e-07, 0.675448
5.09512e-07, 0.674487
5.08219e-07, 0.673722
5.06933e-07, 0.672988
5.05654e-07, 0.672103
5.04381e-07, 0.671141
5.03114e-07, 0.670311
5.01854e-07, 0.669644
5.006e-07, 0.668948
4.99352e-07, 0.668101
4.9811e-07, 0.667228
4.96875e-07, 0.666512
4.95646e-07, 0.665915
4.94423e-07, 0.665241
4.93205e-07, 0.664431
4.91994e-07, 0.663646
4.90789e-07, 0.663025
4.89589e-07, 0.662474
4.88396e-07, 0.661811
4.87208e-07, 0.66104
4.86026e-07, 0.660339
4.8485e-07, 0.659794
4.83679e-07, 0.659268
4.82514e-07, 0.65861
4.81355e-07, 0.65788
4.80201e-07, 0.657258
4.79053e-07, 0.656769
4.7791e-07, 0.656251
4.76773e-07, 0.655596
4.75641e-07, 0.654912
4.74514e-07, 0.654359
4.73393e-07, 0.653909
4.72277e-07, 0.653387
4.71167e-07, 0.652736
4.70061e-07, 0.652101
4.68961e-07, 0.651608
4.67865e-07, 0.651179
4.66775e-07, 0.650645
4.6569e-07, 0.650004
4.6461e-07, 0.64942
4.63535e-07, 0.648978
4.62465e-07, 0.648556
4.614e-07, 0.648008
4.6034e-07, 0.647383
4.59285e-07, 0.646853
4.58234e-07, 0.646452
4.57188e-07, 0.646026
4.56148e-07, 0.645465
4.55111e-07, 0.644866
4.5408e-07, 0.644391
4.53053e-07, 0.644023
4.52031e-07, 0.64359
4.51013e-07, 0.643023
4.5e-07, 0.642455


